Adriana_Zamora	1210921311013	7,15	97,58
Bernardo_Yamada	1210921211025	7,56	95,14
Carlos_Xavier	1210921211015	6,75	85,77
Daniel_Wagner	1210921211028	7,56	97,62
Enzo_Valim	1210921111041	6,77	82,77
Flavia_Uchoa	1210921211001	7,72	82,20
Guilherme_Taboa	1210921111028	9,19	94,19
Helga_Soares	1210921211005	6,66	77,74
Inacio_Rabelo	1210921211037	8,90	62,94
Jose_Queiroz	1210921211024	6,42	71,16
Kauan_Pedroso	1210921211008	9,80	67,80
Luisa_Oliveira	1210921121018	7,79	61,89
Marcos_Nogueira	1210921211014	7,23	61,67
Nicolas_Marinho	1210921211029	7,85	75,43
Oswaldo_Lage	1210921211009	6,42	88,94
Pietra_Kimura	1210921211002	8,77	79,07
Quirino_Jesus	1210921211026	6,41	88,66
Robert_Iglesias	1210921211027	9,82	67,09
Sandra_Hauser	1210921211003	9,14	60,33
Tulio_Galanti	1210921211006	7,75	84,64
Ulisses_Ferraz	1210921211036	7,76	97,40
Vinicius_Eanes	1210921211035	6,64	65,46
Wilson_Duarte	1210921211011	8,81	64,07
Ximena_Cabral	1210921211032	8,16	67,36
Yasmin_Braga	1210921211010	7,65	94,93
Zelia_Azevedo	1210921121012	8,80	99,50
